id,title,genre,release_year,rating
716,Lay billion,Fantasy,1975,7.96
717,Dream themselves,Action,1960,7.45
718,Guy painting,Musical,2004,6.96
719,Most figure,Drama,1975,7.11
720,Safe me,Action,1956,5.58
721,Just over,Drama,1994,8.51
722,Response growth,Crime,1990,8.91
723,Whom after two meet,Sci-Fi,2008,6.18
724,Argue grow,Animation,1990,6.43
725,Range about create,Drama,1956,6.91
726,Appear under always,Fantasy,1974,7.73
727,Huge one one,Comedy,1969,4.62
728,Reflect system try,Crime,2021,7.2
729,Newspaper begin,Thriller,1977,6.45
730,Event relationship cover,Action,1994,6.05
731,Compare example dog,Drama,1959,5.67
732,Himself,Crime,1946,6.99
733,Everybody rest view,Thriller,2001,6.95
734,Debate mind from style,Drama,2012,7.2
735,Reason lay kitchen mouth,Fantasy,2001,7.22
736,Real ball,Comedy,1947,6.88
737,Present own,Crime,2019,6.46
738,Bank fine example surface,Action,2020,5.0
739,Poor health bank,Animation,2022,7.26
740,On fine firm,Action,1968,6.49
741,Economic wide,Thriller,1981,7.67
742,Performance policy,Drama,1998,5.83
743,Several product now,Crime,1964,7.13
744,Agent yeah near happy,Action,1968,6.07
745,Food owner,Comedy,1943,5.62
746,Single wish discover machine,Animation,1948,6.56
747,Perform strategy,Crime,1968,9.26
748,Style TV hot,Comedy,2021,6.66
749,News young level,Action,1950,6.98
750,Song provide law,Action,1987,7.33
751,Good member,Drama,2022,5.48
752,Here attack begin,Drama,2002,4.17
753,Trip field foot,Comedy,2014,7.93
754,Discover wrong,Crime,1946,6.67
755,Himself behind,Action,1971,8.89
756,Herself teach long risk,Animation,1969,8.12
757,Own model,Drama,1982,7.0
758,Successful,Animation,2022,7.56
759,Same cold field,Thriller,1942,6.3
760,Price,Drama,2010,7.25
761,Sell cost form officer,Action,1974,5.62
762,This environmental,Action,1954,7.36
763,Result political full,Comedy,1967,8.74
764,Million likely,Comedy,1970,5.86
765,Who artist leg,Animation,2003,7.01
766,Still present,Animation,1973,6.49
767,Take sense stand,Drama,2020,7.78
768,Brother bit participant,Drama,1954,8.08
769,Easy customer also,Thriller,1955,6.87
770,Suffer a woman year,Fantasy,1964,8.3
771,Minute drive face,Drama,1981,6.03
772,Of on institution organization,Animation,2001,7.74
773,Traditional garden away reason,Crime,1976,7.04
774,Morning some,Drama,1977,6.54
775,Owner,Comedy,1998,5.97
776,As right event,Drama,1999,6.6
777,Traditional city task,Musical,2022,7.07
778,Feeling understand,Musical,1975,7.44
779,Including believe activity,Comedy,1951,5.7
780,Early always stop,Animation,1960,7.32
781,Plan station everybody,Drama,2014,5.91
782,Everybody huge,Action,2019,5.97
783,Whom four,Fantasy,1995,4.99
784,Key pattern,Drama,1947,6.09
785,On also,Action,1945,7.65
786,Some scene,Crime,2001,6.52
787,Couple,Drama,1968,6.11
788,Win development fall,Comedy,1950,7.48
789,Choose,Fantasy,1974,6.09
790,Direction way start,Drama,1984,7.68
791,Care school,Comedy,1989,6.58
792,They environmental TV,Crime,1965,4.62
793,Job girl,Drama,1942,5.46
794,Speak note,Comedy,1981,4.16
795,Yard suffer,Animation,1940,7.63
796,The scientist wait,Drama,1940,8.3
797,Really site project,Drama,1972,6.26
798,Physical professional,Fantasy,1984,7.08
799,Already edge artist share,Drama,2001,6.92
800,Present play enter,Comedy,1961,6.92
801,Eight anything dream,Drama,1997,8.72
802,Whom situation,Action,2018,6.4
803,Almost,Thriller,1959,5.92
804,Note there degree remain,Fantasy,1951,7.87
805,Here,Animation,2023,7.2
806,Such development whether,Fantasy,2001,7.08
807,Carry bank,Fantasy,1947,6.78
808,Account,Comedy,1991,5.69
809,Prove would agree,Drama,1969,8.69
810,For worry expect,Thriller,1956,6.04
811,Major network quite,Sci-Fi,1944,8.73
812,Enjoy player team,Drama,2023,7.26
813,Size cultural model,Animation,1978,7.66
814,Great station game,Comedy,1990,6.07
815,Property he matter,Fantasy,1985,5.93
816,Choose well up,Drama,1956,7.56
817,Follow happy PM employee,Musical,1947,6.15
818,Answer benefit trial,Crime,2015,7.01
819,Trial economy challenge evening,Fantasy,2007,6.61
820,City market,Action,1948,7.17
821,Near despite station,Animation,1983,7.34
822,Tell do explain,Drama,1952,9.6
823,Now,Drama,1969,8.05
824,Star political,Fantasy,1988,8.1
825,Focus should,Drama,1942,5.77
826,Down again,Crime,1979,6.52
827,Question responsibility,Comedy,1983,8.18
828,Treat,Drama,1972,5.39
829,Happen response,Action,1946,8.27
830,Recent scientist financial buy,Fantasy,1972,7.8
831,Political growth pretty,Thriller,1987,7.03
832,Today mother camera,Fantasy,1944,6.63
833,Our by stuff,Animation,1950,8.34
834,Hundred raise century,Drama,1973,6.12
835,Site open knowledge,Comedy,2003,7.57
836,Challenge cost,Drama,1951,9.12
837,Sea hold city,Fantasy,1993,5.25
838,Article herself away,Musical,2010,6.52
839,Food just,Crime,1964,6.35
840,Region parent,Drama,1983,6.57
841,Impact development walk,Animation,1965,8.37
842,Industry rest,Action,2017,5.96
843,Number fall,Sci-Fi,1992,8.03
844,The simple nothing,Drama,2022,7.71
845,Lose suddenly admit,Comedy,1984,6.65
846,Find describe,Drama,1997,6.61
847,Stage drop,Sci-Fi,1969,7.9
848,Dark focus increase,Fantasy,1976,6.65
849,Simply mind,Musical,1948,5.92
850,Benefit interesting firm cover,Thriller,2001,6.03
851,But question approach,Animation,1953,7.53
852,If sea,Action,2017,6.3
853,Fire minute myself,Drama,1984,6.05
854,Forward,Drama,1966,8.36
855,Analysis resource war,Drama,1946,4.7
856,Choose couple,Drama,1957,5.9
857,Among five,Fantasy,2016,5.99
858,Worker civil total,Animation,2014,6.78
859,Far impact stage nor,Fantasy,1995,8.21
860,Apply hold exist,Drama,2019,7.26
861,Manage including second,Comedy,2020,8.57
862,Three student,Thriller,2008,6.19
863,Next window image,Thriller,2013,6.37
864,Reach close science,Action,1956,7.65
865,Ok some,Musical,1970,6.9
866,Building various discussion,Drama,1982,8.87
867,Pretty plant phone,Musical,2008,5.32
868,Without somebody reveal,Crime,1990,6.73
869,Budget view,Animation,1983,7.71
870,Many us tax,Animation,2015,9.16
871,Tree art,Fantasy,1943,7.49
872,Discuss father,Thriller,2016,7.21
873,Get from,Musical,2003,7.58
874,Decide evening,Crime,2017,6.35
875,Attention sign,Thriller,1984,5.54
876,Leg buy,Drama,1987,7.99
877,Little company these tell,Animation,1971,7.3
878,Adult on difference,Comedy,2024,6.41
879,Record always various,Fantasy,1972,8.72
880,Nice see within,Crime,1943,7.18
881,Manage available apply,Comedy,2001,6.45
882,Chance police,Action,1966,6.26
883,By door become,Action,1941,7.11
884,But know itself,Crime,2022,7.98
885,Value include paper,Drama,1945,7.93
886,Protect already,Animation,2004,7.85
887,Up key mother,Drama,1957,7.56
888,Area site very leader,Drama,1969,8.92
889,Have key,Fantasy,2024,5.63
890,Be next,Drama,1966,7.04
891,Art maintain,Crime,1988,7.52
892,Exist best current,Crime,1968,4.39
893,Hand six read agent,Sci-Fi,1987,7.21
894,Need form save,Musical,1954,5.88
895,Professor change really us,Comedy,1970,5.96
896,Minute will dog,Fantasy,1971,9.61
897,Artist source,Drama,1946,4.04
898,City property,Action,2015,6.46
899,Standard less,Musical,1941,7.65
900,Create skill,Fantasy,2014,7.53
901,Still Congress artist,Animation,2009,7.25
902,Player worker,Fantasy,1992,5.34
903,Which answer interesting,Crime,2020,5.74
904,Can beautiful education,Animation,1952,7.88
905,Radio less available,Drama,2014,5.54
906,Whom work,Crime,1997,6.25
907,Available including,Drama,1968,6.54
908,My good pick,Animation,2023,8.36
909,Trial control goal,Animation,1957,7.45
910,Like arm alone,Drama,1963,6.72
911,Help front,Animation,1978,6.36
912,Certainly hold,Musical,2019,7.51
913,Boy anyone expect take,Action,1947,6.27
914,Task garden,Comedy,1984,5.65
915,Where wind,Comedy,1944,8.21
916,Go,Musical,2024,7.24
917,Simple ok ball already,Comedy,1992,5.79
918,Section toward impact,Musical,1950,6.23
919,New anything,Sci-Fi,2005,7.13
920,Cut dog,Drama,1943,7.29
921,I million wonder,Action,2001,7.24
922,Leg subject,Drama,1981,5.42
923,Water attorney we,Drama,1981,8.42
924,Wide always success,Musical,2024,6.54
925,Dream with wide,Thriller,2021,4.92
926,Listen break attack,Comedy,2024,7.65
927,Begin woman relationship production,Musical,1972,7.55
928,Whom all I,Drama,2003,6.74
929,Wind significant bill,Musical,1988,6.58
930,Particular maintain word,Action,1959,6.09
931,Plant paper,Animation,1973,6.75
932,Campaign agreement wonder,Drama,2023,5.24
933,Establish rather move great,Musical,1954,7.97
934,Central investment market,Drama,1991,6.32
935,Drop movie thus,Action,2001,7.97
936,Perhaps throw consumer agreement,Thriller,2017,8.33
937,Prevent important,Drama,1978,5.12
938,Seek represent,Drama,1975,7.6
939,Society available recent,Animation,1955,7.58
940,Foreign education parent,Drama,1994,8.65
941,Evening no movement,Animation,1948,5.93
942,Yet others much,Action,1958,6.05
943,Protect nature,Thriller,1945,8.0
944,Data most,Action,2023,7.35
945,Plan religious true treat,Action,2001,3.92
946,Research when realize,Action,2013,8.35
947,Necessary themselves,Musical,2023,6.22
948,Represent surface,Comedy,1956,9.53
949,Professor together talk,Crime,1941,7.45
950,Size hear rule age,Drama,1988,6.82
951,Decision its,Animation,1960,7.38
952,Market sit ball,Animation,2010,8.13
953,Could find performance,Drama,1999,5.56
954,Recognize all,Comedy,1974,7.57
955,Enough head,Fantasy,1989,5.95
956,Factor,Thriller,1962,7.58
957,Indeed at,Drama,1993,7.76
958,Relationship series will,Drama,2018,6.89
959,Unit particular serious,Drama,1941,7.7
960,Against speech official,Animation,1950,8.49
961,Value religious approach serious,Animation,1966,7.69
962,Develop bag worry,Comedy,1958,4.85
963,Trouble real,Animation,1990,7.61
964,Agree network,Crime,1979,5.88
965,Data involve term contain,Animation,1990,6.59
966,Two those,Crime,1991,4.71
967,Question,Crime,2005,7.68
968,Door grow prepare,Drama,2015,6.43
969,Middle green happen,Action,1945,7.13
970,Image stock kid stand,Drama,1991,9.88
971,Cost cold,Drama,1951,9.9
972,Relate since accept,Action,1973,6.47
973,Without success PM,Fantasy,1957,5.8
974,Everything career,Crime,1965,6.7
975,Truth pressure,Fantasy,2017,7.05
976,Their say,Action,1940,7.5
977,Expert guess issue way,Drama,2024,5.55
978,What account record low,Drama,2008,8.04
979,Follow plant,Comedy,2013,6.3
980,Mouth popular space,Action,1963,6.17
981,Another group player space,Drama,1976,8.18
982,Light paper,Action,2020,5.58
983,Magazine trip,Thriller,1993,8.29
984,Hour impact place,Crime,1948,5.69
985,Management company summer,Comedy,2004,7.45
986,Condition Mr,Action,1989,7.14
987,Tax including so benefit,Comedy,1973,7.13
988,Hot newspaper,Thriller,1994,7.07
989,Mind capital,Drama,2000,5.5
990,Wish end,Crime,2014,6.93
991,Conference,Musical,1943,7.97
992,Rather speech source,Crime,2011,6.27
993,Modern than,Drama,1964,7.64
994,Involve require doctor,Animation,1971,7.93
995,Race across surface,Thriller,1986,4.97
996,Event brother,Comedy,2015,5.5
997,Man bank same eye,Drama,1957,7.04
998,Benefit because technology character,Fantasy,2015,6.55
999,Claim keep pattern,Comedy,1956,6.64
1000,Picture Mr car,Crime,1982,4.47
1001,Wait recently decide,Crime,2023,7.13
1002,Someone argue performance,Action,1971,8.73
1003,Simple discover garden,Comedy,1940,6.9
1004,Card spend,Comedy,1972,6.45
1005,Focus suddenly,Comedy,2003,6.31
1006,Send thought,Crime,2020,4.22
1007,Energy mind,Crime,1942,5.99
1008,Country all,Animation,2019,7.32
1009,And director market,Thriller,1967,6.21
1010,Executive hard dog,Drama,1964,7.68
1011,Friend fish candidate likely,Thriller,2016,6.39
1012,Edge police,Crime,1967,6.41
1013,Weight change son,Thriller,2003,6.1
1014,Sure apply,Fantasy,1940,7.35
1015,Product rule,Drama,1985,7.34
1016,Reflect toward,Action,1958,7.19
1017,Poor,Drama,1996,7.4
1018,Budget leader,Comedy,2007,9.13
1019,Operation so,Crime,1955,6.11
1020,Everybody activity,Musical,2018,6.69
1021,Allow heart,Crime,1961,6.42
1022,Lead sit,Thriller,1953,7.93
1023,Remember project,Thriller,1968,6.97
1024,Wear price,Fantasy,1995,6.69
1025,Painting important,Drama,1970,5.98
1026,Sort present rich,Animation,1967,7.5
1027,Measure student cover,Drama,2015,8.15
1028,Power outside,Fantasy,2009,4.12
1029,Western whole,Animation,1968,7.43
1030,Pass someone,Thriller,1958,7.68
1031,Necessary race,Animation,1978,8.58
1032,Line decide boy,Comedy,1968,6.5
1033,Situation exactly practice,Drama,2014,7.99
1034,Business situation outside,Thriller,1957,7.14
1035,Voice test,Action,1977,6.35
1036,Maybe fight,Thriller,2012,8.23
1037,Test should,Sci-Fi,1986,7.6
1038,Data key money,Drama,1993,5.31
1039,Your usually,Drama,1950,7.27
1040,Store task interest,Sci-Fi,1971,7.92
1041,Instead end similar system,Drama,1946,8.62
1042,Bar line ground,Crime,1977,8.88
1043,Light never,Animation,1982,7.82
1044,Partner lawyer enjoy,Comedy,1952,7.54
1045,South watch analysis candidate,Fantasy,1977,6.68
1046,Decide well,Sci-Fi,1962,7.51
1047,Bill wind out,Drama,1951,6.1
1048,Culture grow,Animation,2018,7.68
1049,Standard down brother,Drama,1998,5.88
1050,End time,Fantasy,1945,7.24
1051,Cover husband knowledge make,Comedy,1949,7.29
1052,Operation civil,Crime,1992,5.96
1053,Pass popular test,Comedy,1940,5.87
1054,Challenge western,Thriller,1988,5.03
1055,President position stay,Comedy,2005,6.58
1056,Own manager nearly,Drama,1969,6.87
1057,Without common hard,Fantasy,2008,6.93
1058,Nearly number exactly,Drama,2014,10.0
1059,Goal take,Fantasy,1940,6.79
1060,Least fill stuff radio,Action,1981,6.48
1061,Live be soldier,Animation,1996,7.38
1062,Successful where general,Drama,1951,5.97
1063,Life your,Fantasy,1974,7.78
1064,While attorney throw,Sci-Fi,1978,5.95
1065,Everyone those,Comedy,1969,5.86
1066,Deep,Animation,1941,7.19
1067,Few impact,Musical,1964,7.42
1068,Entire place,Drama,1957,7.45
1069,Well wrong,Action,1994,5.46
1070,Cover truth again,Crime,1982,6.19
1071,Available movie,Comedy,1971,8.41
1072,Religious race important,Action,1940,6.01
1073,Name hotel,Thriller,1991,7.38
1074,Senior indeed decision,Sci-Fi,1985,8.23
1075,Onto floor suffer,Action,1966,8.22
1076,Eye cause case size,Fantasy,2002,7.14
1077,Inside behavior serve,Thriller,1956,7.48
1078,Else worry,Drama,2019,5.72
1079,Half lose sense,Drama,1972,6.89
1080,Practice fall watch,Sci-Fi,1947,6.29
1081,Paper voice discover,Sci-Fi,1997,6.83
1082,Government budget,Drama,1965,7.08
1083,Someone resource,Drama,1993,8.51
1084,Positive professor,Action,1968,6.41
1085,Series different,Sci-Fi,2011,8.38
1086,Maintain today,Crime,1968,6.45
1087,Commercial feeling,Comedy,2017,7.98
1088,Community phone both,Comedy,1967,6.71
1089,Certainly bill wrong range,Animation,2013,7.72
1090,Myself few,Action,2017,7.67
1091,I until race,Comedy,1960,7.32
1092,Security within,Action,1940,8.0
1093,Challenge hard,Animation,1963,7.97
1094,Catch car,Thriller,1950,5.92
1095,Fact economy,Crime,2014,6.74
1096,Country approach culture break,Crime,1974,6.18
1097,Until apply,Comedy,1955,2.92
1098,Rock meet beat,Drama,1965,6.4
1099,Author morning,Drama,2019,5.64
1100,Follow affect leave,Thriller,1961,6.18
1101,Republican bed,Crime,1952,7.8
1102,Worry seven around,Drama,1953,7.68
1103,Defense,Drama,1993,8.65
1104,Professor stay,Sci-Fi,2018,7.18
1105,Company population,Drama,1999,6.26
1106,Question campaign,Comedy,2016,5.14
1107,Cause,Action,1967,7.04
1108,Road glass war,Action,2004,6.88
1109,Specific adult section,Drama,1972,6.76
1110,Field thing dog clearly,Sci-Fi,1947,7.65
1111,Personal success first,Musical,1940,7.49
1112,Along medical parent,Comedy,1962,6.56
1113,Word ball usually,Comedy,2009,5.96
1114,However usually audience,Thriller,1949,7.54
1115,Rest later,Drama,1948,5.11
1116,Key life,Animation,1993,7.39
1117,Method agency agency continue,Animation,2012,7.4
1118,Add score center,Action,1991,6.99
1119,Quality hot which,Thriller,1982,7.79
1120,Pretty responsibility human,Musical,2023,6.73
1121,Conference red note,Fantasy,2000,6.32
1122,Time cell,Comedy,1997,6.27
1123,Pressure available,Fantasy,1989,7.4
1124,Range especially then,Action,1987,5.46
1125,Director expert,Crime,2022,8.03
1126,Under threat,Crime,1940,6.73
1127,Eat magazine democratic,Drama,2008,7.88
1128,Door analysis,Drama,2022,7.69
1129,Far,Crime,1946,5.83
1130,Sense several sign,Action,1946,7.35
1131,Young family no,Fantasy,1952,7.22
1132,Yeah use husband,Fantasy,1993,7.74
1133,Special many strategy,Drama,1963,7.25
1134,Bar agency,Fantasy,2001,7.13
1135,Reduce top,Fantasy,1983,7.76
1136,Consumer sit law board,Sci-Fi,1982,7.19
1137,Ago also,Action,1947,5.9
1138,Husband sell skin anyone,Action,2022,5.4
1139,Produce never,Drama,2024,6.93
1140,Wrong task successful,Drama,2000,6.61
1141,Different during,Fantasy,1981,8.06
1142,Wind less else nothing,Crime,2001,6.92
1143,Wife local economy,Fantasy,1950,7.83
1144,From difficult same,Fantasy,1940,6.62
1145,Few me,Drama,1974,6.09
1146,Future agreement ago necessary,Drama,1954,7.45
1147,Assume,Drama,1962,7.1
1148,Because toward significant,Fantasy,1983,7.11
1149,Let window,Drama,1988,6.63
1150,Together central,Fantasy,1971,6.8
1151,Special before participant,Musical,1958,8.15
1152,Tonight case thought,Drama,2001,7.82
1153,Theory former television,Musical,1967,6.6
1154,Better development none,Crime,1990,7.28
1155,Point easy,Action,2016,6.38
1156,Song stuff,Comedy,1957,6.66
1157,Into politics significant,Action,1999,7.29
1158,Support order,Crime,1998,4.74
1159,Standard drug,Comedy,2014,7.48
1160,Whose,Animation,1953,7.34
1161,Dark conference,Crime,1978,7.62
1162,Catch western,Comedy,1954,8.68
1163,Require should late,Drama,1947,6.63
1164,Western every kitchen,Drama,2020,6.65
1165,Follow those,Drama,2014,8.11
1166,Check window,Musical,1971,7.15
1167,Market rest executive,Comedy,1992,7.55
1168,House,Animation,2017,6.35
1169,On food great,Comedy,1947,5.66
1170,Girl vote resource,Fantasy,1956,5.16
1171,Two test,Drama,1967,7.94
1172,People bring him,Comedy,1995,5.05
1173,Get surface race,Animation,1966,8.61
1174,Another finish front,Musical,2019,7.36
1175,War change,Crime,1965,10.0
1176,Same spend civil,Sci-Fi,2014,7.03
1177,Mouth couple fish,Crime,1961,6.54
1178,Country best marriage,Action,1967,5.7
1179,On race,Crime,1960,8.07
1180,Difference,Fantasy,1976,5.19
1181,What national,Animation,2011,7.47
1182,Represent travel benefit,Drama,2018,5.42
1183,Court stock reach,Musical,2016,7.17
1184,Fire,Action,1962,5.61
1185,Space particular half,Fantasy,2000,6.6
1186,Mean lot daughter,Drama,2012,8.71
1187,Ability service school,Crime,2018,4.59
1188,Phone boy because,Fantasy,2022,7.26
1189,Camera age,Fantasy,2017,6.5
1190,Deep prepare vote reality,Musical,1957,7.04
